permutation	centroid_distance
1	2.14419042026861
2	1.5307355866116408
3	1.4500374894867054
4	0.9354939022115945
5	2.0078491288417064
6	3.1206079971565726
7	5.913086342048644
8	2.5222496996194264
9	2.4608471662864195
10	2.7873206855035315
11	1.5358928592733465
12	3.089822622281541
13	2.801586364957044
14	1.282486405886402
15	2.0987321811797695
16	4.102415479240927
17	2.7961724265518795
18	1.8308355586389797
19	2.412875560866076
20	1.5539429234267401
21	2.4959497109099855
22	2.8467162126878076
23	1.6619927622533128
24	1.6266852469243394
25	1.7812466810829939
26	4.600898872561286
27	2.4760034313298425
28	1.8039482513061795
29	1.916382057617571
30	1.4166273333762205
31	2.6312753409598155
32	4.705112569696603
33	3.1160638663373157
34	3.6502788113518143
35	2.25044781256701
36	3.806145407683333
37	1.7651825895837354
38	3.469235120505176
39	3.0967856542856307
40	1.7806773007694041
41	2.4311526607467178
42	1.9468975577645204
43	1.650726443608914
44	2.157430205215515
45	2.2279215572098154
46	1.7510804132875446
47	2.340624195649655
48	1.7090740603815948
49	2.794689249815413
50	2.7209515698633995
51	1.924685474184327
52	2.3967313415833438
53	1.998404193379843
54	1.803418492129314
55	2.445620561287011
56	2.336617682766634
57	1.5137426349407976
58	2.737487550103043
59	4.0096467846005295
60	2.53954439498273
61	2.9565338485778363
62	3.3679275702128164
63	4.7406956748375455
64	2.0589030092860714
65	4.567590725958497
66	2.103921167703655
67	6.047307541974582
68	2.835555728000701
69	2.0619856071402234
70	3.628350685653859
71	3.6136276987471936
72	1.5787521609431323
73	1.5814096500346966
74	2.0785696924326476
75	2.4995711479972265
76	1.6913948567916541
77	1.6648045818364583
78	2.6716349452263324
79	1.0343327699880565
80	1.6890464999061168
81	1.9141562124866465
82	2.107852348110858
83	4.835619536750756
84	2.857935573808821
85	1.7951229294877298
86	3.234610660963334
87	1.522670283278663
88	2.3327205624909833
89	2.779584190448565
90	1.9864540035542395
91	3.2990263063865513
92	2.492020672231851
93	1.3804013534146908
94	1.7934869817390988
95	1.967838628378883
96	1.755653802308146
97	4.755180756124196
98	1.7912738921978817
99	1.4562815610260615
100	2.6926103332487306
101	2.34811789294083
102	1.452230016504575
103	2.3007404007051684
104	3.5665746042401705
105	1.9130140373679398
106	3.7728139448774747
107	2.313065639790886
108	3.3411192533549903
109	2.2410000837443134
110	5.0700387356503915
111	2.1758529617844915
112	3.0167715706687743
113	1.6496565283167868
114	1.453241968118606
115	2.310202169945978
116	3.6192051381651322
117	3.9786297506780537
118	1.4920599002113673
119	3.4319285126144776
120	2.30385570224338
121	1.9078307379725128
122	2.711981425655795
123	1.8157018112453525
124	3.365976074625506
125	2.5641501279651147
126	2.5249650887821473
127	3.346014722916813
128	1.5966128508038
129	2.303870304673065
130	3.9836986299662693
131	2.335644109972929
132	2.839843309400586
133	2.7606094464996453
134	3.7090753501221534
135	2.243577400676088
136	3.1565658067087132
137	2.3898301296330553
138	1.7110263738976186
139	2.477213466122634
140	2.345337197867204
141	1.6822689709520133
142	2.1120673804301577
143	3.094518630616786
144	1.5261767913564555
145	5.395139758774787
146	2.0111805086686814
147	2.0307463669942827
148	1.7322020381364347
149	2.8004921002090395
150	2.319679690669402
151	3.3613714415965843
152	2.6549207926093277
153	1.9677594505011649
154	3.457004661434251
155	1.6118286087301799
156	3.2750537160983795
157	2.5195537358412237
158	1.6014618614653309
159	1.6206422986414868
160	1.774032274376235
161	2.2909665815792817
162	3.113281863012148
163	2.2156560665920915
164	3.1853667572586986
165	1.438843275453257
166	3.182821568912645
167	1.826071751932081
168	2.898731727321558
169	1.6325113270973308
170	2.033177908564482
171	1.4673664050530155
172	1.9271744485192779
173	1.7270717310789065
174	3.2700923147521332
175	2.6623133579790976
176	3.1626373969569466
177	1.7160495588927573
178	2.3737575433516165
179	2.771442359660152
180	3.5718499267180035
181	2.182309111930401
182	2.467475675103744
183	2.5054802957140763
184	2.0949308429407427
185	1.6649474028773865
186	1.8865306877944155
187	2.6543545687664714
188	2.8308420763707973
189	5.087128101138633
190	3.064330162161448
191	2.6837110552798964
192	1.761438033111429
193	3.0579601223376742
194	1.818085391842545
195	1.502734912337901
196	1.5301779106469242
197	2.684255134833423
198	2.9589246121154833
199	1.965834456308286
200	2.837521896200842
201	2.781936849673915
202	1.5948207435341797
203	3.6959949279614603
204	3.1706051306437786
205	3.0299590644041796
206	2.311052878402036
207	1.2958190882011922
208	3.64941663398483
209	3.5608869905609377
210	1.8189588577047486
211	3.433162072281906
212	3.093035906285541
213	4.63185364719017
214	2.9830261152218394
215	2.1118319912416337
216	2.972731232147581
217	2.521462570850752
218	1.620449673141553
219	2.2266079277804387
220	1.9545951096258534
221	1.8488942742779944
222	2.7522812634947633
223	2.5993210020909947
224	3.1887757708547175
225	1.696632156123452
226	2.8747175713191875
227	3.5613861549774115
228	2.7240287135491243
229	1.5464790566483704
230	1.470915723231237
231	2.583023693817089
232	2.7493566844564588
233	2.2371002587077795
234	1.746112677749197
235	1.9021120638787756
236	1.4694385332999127
237	3.3656150841451504
238	0.9551819864570736
239	2.4933180529426475
240	3.2649694422388897
241	2.1803041154170923
242	2.8699383427726373
243	3.2241514677951337
244	2.1360815899915764
245	2.2275355159563595
246	5.121516326130894
247	3.457773105678232
248	4.1886089386082865
249	1.5842029274038831
250	1.1065584935782442
251	2.1714076775727498
252	2.374702149284709
253	2.0667471714589305
254	2.098730709683294
255	1.8345217793817665
256	4.078000115254956
257	2.397828304185718
258	2.2580814798879483
259	2.4142840769761547
260	2.850837936503969
261	4.510080516521772
262	1.6560856776263966
263	1.549455083239853
264	1.726443211252791
265	2.8853564995249488
266	1.7202370121403463
267	3.8513113740440597
268	2.6133058761436425
269	2.150094517557831
270	3.265239520878036
