geometry_angstrom,eigenpair_index,gap_hartree,valid_seed_units,robust_positive_units,robust_positive_rate,prominence_positive_units,prominence_positive_rate,median_robust_delta_c,median_prominence,min_prominence,max_prominence,dephasing_positive_rate,transverse_positive_rate,status
0.75,11,0.008884626414053187,12,9,0.75,8,0.6666666666666666,0.16244785562292746,0.05022082391762317,-0.344057602607587,0.16539305787919734,1.0,0.75,FAIL
0.75,8,0.049178597198276996,12,9,0.75,8,0.6666666666666666,0.06598198507537602,0.03943950452011338,-0.32193266645322666,0.31291800528294517,0.9166666666666666,0.75,FAIL
0.75,15,0.0015124697447248536,12,11,0.9166666666666666,7,0.5833333333333334,0.16638893396909382,0.0871408728326612,-0.21202236246029244,0.36188935591450305,0.9166666666666666,1.0,FAIL
0.75,30,0.03656162528960172,12,6,0.5,8,0.6666666666666666,0.007921001035460451,0.08900029689669184,-0.2815314152510973,0.3870027784348741,0.8333333333333334,0.6666666666666666,FAIL
0.75,27,0.025048780902962253,12,9,0.75,6,0.5,0.09477658334538563,0.021953779238567922,-0.3829593014314228,0.33502389855327264,0.75,0.9166666666666666,FAIL
0.75,12,0.04282415001360329,12,7,0.5833333333333334,6,0.5,0.05038106701791693,0.01166400232957139,-0.3480813779249833,0.37079273033921134,0.75,0.5833333333333334,FAIL
0.75,2,0.048564618269860915,12,7,0.5833333333333334,6,0.5,0.09497306179461534,0.001151668625850144,-0.29464599287292137,0.3121212413796295,1.0,0.5833333333333334,FAIL
0.75,22,0.021934453419186095,12,6,0.5,5,0.4166666666666667,-0.014334961183314038,-0.021935995906297162,-0.21023902981752643,0.4381819520551029,0.9166666666666666,0.5833333333333334,FAIL
0.75,26,0.04145714039449899,12,4,0.3333333333333333,5,0.4166666666666667,-0.07127022123358473,-0.156799767599186,-0.3932354634658125,0.17982861646763296,0.5833333333333334,0.4166666666666667,FAIL
0.75,19,0.033308491914871396,12,7,0.5833333333333334,3,0.25,0.10362367308202039,-0.0929337114904798,-0.30507665664275063,0.32467424723428273,0.8333333333333334,0.6666666666666666,FAIL
1.0,10,0.016016176356413503,12,10,0.8333333333333334,11,0.9166666666666666,0.1507520448980806,0.21961755670034808,-0.2836188735691586,0.45643177119683487,1.0,0.8333333333333334,PASS
1.0,30,0.041786494590284384,12,9,0.75,9,0.75,0.13555054812797787,0.10355843218302516,-0.0735531630776273,0.42094432526054204,0.8333333333333334,0.9166666666666666,PASS
1.0,22,0.0299907349458981,12,8,0.6666666666666666,9,0.75,0.029268037874158423,0.06157155085925176,-0.10277154320969051,0.27066321135734844,1.0,0.6666666666666666,FAIL
1.0,9,0.02480669542157754,12,8,0.6666666666666666,7,0.5833333333333334,0.033314816398983566,0.07430371098590327,-0.3866462798850776,0.3880012767689074,0.9166666666666666,0.75,FAIL
1.0,25,0.04102809871364199,12,8,0.6666666666666666,7,0.5833333333333334,0.07215796815923659,0.06663829549400771,-0.26242733887541747,0.43895255252268345,0.8333333333333334,0.75,FAIL
1.0,13,0.0007251113712838375,12,7,0.5833333333333334,6,0.5,0.0871307324005663,0.05839118044438531,-0.1544058439637031,0.7550102465308624,0.75,0.75,FAIL
1.0,16,0.019044183581684138,12,5,0.4166666666666667,7,0.5833333333333334,-0.0313837322356407,0.07657211545118228,-0.3955512931995858,0.2662104684423064,0.4166666666666667,0.8333333333333334,FAIL
1.0,18,0.014734037068711014,12,5,0.4166666666666667,6,0.5,-0.008715168977830264,0.00420606116865424,-0.28939782332352676,0.34219194327443714,0.4166666666666667,0.9166666666666666,FAIL
1.0,6,0.047452791330473865,12,5,0.4166666666666667,4,0.3333333333333333,-0.1529263316930741,-0.2113955893758311,-0.5037374365245235,0.41482399027039957,0.6666666666666666,0.5,FAIL
1.0,31,0.00042247382613602724,12,3,0.25,5,0.4166666666666667,-0.06779013897022756,-0.06663829549400771,-0.43895255252268345,0.26242733887541747,0.4166666666666667,0.5,FAIL
1.0,24,0.0010509508273610635,12,4,0.3333333333333333,3,0.25,-0.03544808667961302,-0.06910113491103503,-0.25260221618052436,0.18875817404450507,0.75,0.4166666666666667,FAIL
1.0,12,0.039464939261906196,12,4,0.3333333333333333,3,0.25,-0.027183434998065484,-0.14510720783804493,-0.582723973623619,0.3010514368618009,0.5833333333333334,0.5833333333333334,FAIL
1.0,3,0.026519859820731462,12,3,0.25,4,0.3333333333333333,-0.12642225178908176,-0.28836562984788267,-0.5229201310564611,0.21207704925812687,0.4166666666666667,0.4166666666666667,FAIL
1.0,26,0.0386366820351558,12,2,0.16666666666666666,1,0.08333333333333333,-0.09598306111914628,-0.1396073120547557,-0.3590559023187872,0.10328783520869927,0.5,0.4166666666666667,FAIL
1.25,17,0.019337231140157396,12,12,1.0,11,0.9166666666666666,0.19201863202414782,0.13071736541751144,-0.0321784717416109,0.3924846819501749,1.0,1.0,PASS
