geometry_angstrom,seed,eigenpair_index,gap_hartree,delta_c_dephasing,delta_c_transverse,robust_delta_c,local_background,prominence,positive_robust,positive_prominence
0.75,25043000,2,0.048564618269860915,0.16950647469097102,-0.043784523760519556,-0.043784523760519556,0.2508614691124018,-0.29464599287292137,False,False
0.75,25043000,8,0.049178597198276996,0.5127436962865612,0.15972737158953693,0.15972737158953693,0.14910552143737354,0.010621850152163381,True,True
0.75,25043000,11,0.008884626414053187,0.35000974782642524,0.1951160589368375,0.1951160589368375,0.029723001057640183,0.16539305787919734,True,True
0.75,25043000,12,0.04282415001360329,0.34199556663526665,0.4774609609946864,0.34199556663526665,-0.028797163703944695,0.37079273033921134,True,True
0.75,25043000,15,0.0015124697447248536,0.24460375731852063,0.1694065998211935,0.1694065998211935,0.04257773061546219,0.1268288692057313,True,True
0.75,25043000,19,0.033308491914871396,0.029294976416918,-0.10996059770591313,-0.10996059770591313,0.1951160589368375,-0.30507665664275063,False,False
0.75,25043000,22,0.021934453419186095,0.30279773993867076,-0.028797163703944695,-0.028797163703944695,0.020069568474981536,-0.04886673217892623,False,False
0.75,25043000,26,0.04145714039449899,-0.07559664831416854,-0.013024577498717882,-0.07559664831416854,-0.004363797614481579,-0.07123285069968696,False,False
0.75,25043000,27,0.025048780902962253,0.22506330084735948,0.40073873759913525,0.22506330084735948,-0.10996059770591313,0.33502389855327264,True,True
0.75,25043000,30,0.03656162528960172,0.26599728540930073,0.020069568474981536,0.020069568474981536,-0.05219690600905662,0.07226647448403815,True,True
0.75,25043001,2,0.048564618269860915,0.43521689001099373,-0.05238506460263315,-0.05238506460263315,-0.0520776671151984,-0.00030739748743474626,False,False
0.75,25043001,8,0.049178597198276996,0.444450502810399,-0.16651833880540562,-0.16651833880540562,0.004988969986187836,-0.17150730879159345,False,False
0.75,25043001,11,0.008884626414053187,0.4116150012334326,0.24836273620791166,0.24836273620791166,0.1951241056676783,0.05323863054023337,True,True
0.75,25043001,12,0.04282415001360329,0.07034524880633802,0.06236300457500882,0.06236300457500882,-0.16651833880540562,0.22888134338041444,True,True
0.75,25043001,15,0.0015124697447248536,0.2509793525224441,0.2674216966751293,0.2509793525224441,0.19381579751041209,0.05716355501203199,True,True
0.75,25043001,19,0.033308491914871396,0.2572679362530749,0.1392688588129125,0.1392688588129125,0.24836273620791166,-0.10909387739499915,True,False
0.75,25043001,22,0.021934453419186095,-0.17024085707191555,0.04656361798514827,-0.17024085707191555,-0.0502026415239768,-0.12003821554793875,False,False
0.75,25043001,26,0.04145714039449899,-0.05724396094519846,-0.06694379415300092,-0.06694379415300092,-0.11022174929794618,0.04327795514494526,False,True
0.75,25043001,27,0.025048780902962253,-0.07170931699933913,0.26797181430817635,-0.07170931699933913,0.1392688588129125,-0.21097817581225164,False,False
0.75,25043001,30,0.03656162528960172,0.3451900695600817,-0.0502026415239768,-0.0502026415239768,-0.11859232561245824,0.06838968408848144,False,True
0.75,25043002,2,0.048564618269860915,0.25364412171360584,0.2562523038661545,0.25364412171360584,0.19909100456202553,0.054553117151580316,True,True
0.75,25043002,8,0.049178597198276996,0.262511358395342,0.22803486827316743,0.22803486827316743,0.21189563128224473,0.016139236990922706,True,True
0.75,25043002,11,0.008884626414053187,0.3030851214829497,0.09423605451567618,0.09423605451567618,0.04703303722066321,0.04720301729501297,True,True
0.75,25043002,12,0.04282415001360329,0.17014714085088362,0.27647586027062454,0.17014714085088362,0.25364412171360584,-0.08349698086272223,True,False
0.75,25043002,15,0.0015124697447248536,-0.06544219908485599,0.3678524518872851,-0.06544219908485599,0.1268721640209293,-0.19231436310578529,False,False
0.75,25043002,19,0.033308491914871396,0.1595082735261824,0.6394831864913346,0.1595082735261824,0.09423605451567618,0.06527221901050623,True,True
0.75,25043002,22,0.021934453419186095,0.3258333436977474,0.40043811233876697,0.3258333436977474,0.17014714085088362,0.1556862028468638,True,True
0.75,25043002,26,0.04145714039449899,0.01056663435915628,0.23381147571388972,0.01056663435915628,0.3027208462931206,-0.29215421193396435,True,False
0.75,25043002,27,0.025048780902962253,0.47134430208372646,0.13628447757280887,0.13628447757280887,0.1595082735261824,-0.02322379595337354,True,False
0.75,25043002,30,0.03656162528960172,0.38822119539774197,0.27960834888849384,0.27960834888849384,0.16819998902845185,0.111408359860042,True,True
