version,seed,family,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,cross_sum,R_E,D_E,D_Q_within,D_Q_crossmix,D_E_signed_pairmean,D_Q_within_signed_pairmean,D_Q_crossmix_signed_pairmean,split_residual_maxabs
v32.17,25042000,dephasing,0,63,2.874552422746733,0.18871847023623955,4,4,0.8416954218508284,0.9930919606402442,0.6416828137698165,0.10370700745448398,3.228615291783754e-13,3.070104649325627e-13,1.5813739207004573e-14,3.228615291783754e-13,3.070104649325627e-13,1.5813739207004573e-14,3.863482538781459e-17
v32.17,25042000,dephasing,1,62,2.87344508633917,-0.31508147386664376,4,4,0.07353167773155234,0.46592730311541275,0.05609317873684099,0.10325975253181813,1.527614840179936e-13,1.434319589537399e-13,9.332812300755222e-15,-1.527614840179936e-13,-1.434319589537399e-13,-9.332812300755222e-15,2.0326254465841732e-17
v32.17,25042000,dephasing,2,61,2.8439494108712084,0.30490189758471686,4,4,0.8386112407538827,0.9927636550313537,0.6585486272529264,0.10910320070925272,3.277673271684378e-13,3.3525379356299567e-13,7.471454011032108e-15,-1.701364743533773e-13,-1.7192217665624377e-13,1.7607443281164592e-15,3.9970358275743796e-17
v32.17,25042000,dephasing,3,60,2.8428147436945483,-0.37654043188966524,4,4,0.053124955683378994,0.4473246726530491,0.04169909352200221,0.10892399801906671,1.4833967387772873e-13,1.5149576586380765e-13,4.954370247389761e-15,7.286185543797785e-14,7.78256671611531e-14,-4.954370247389761e-15,1.1806182538583962e-17
v32.17,25042000,dephasing,4,59,1.9787294107422513,0.09163904430626355,4,4,0.3051791821846072,0.8792930104737413,1.4611783288335898,0.15748140488589057,1.2114146491493116e-11,1.2019849218980788e-11,2.5971412520586767e-13,1.2114146491493116e-11,1.2019849218980788e-11,9.426660840805567e-14,4.2470685103900823e-16
v32.17,25042000,dephasing,5,58,1.9761806190048739,-0.047486139244666936,4,4,-0.25579241329807423,0.4599545703425326,-1.2251924434988113,0.07212644602918795,6.3559244672939386e-12,6.312380258770528e-12,1.0945931661066055e-13,6.3559244672939386e-12,6.312380258770528e-12,4.344268000888718e-14,2.2154965454572723e-16
v32.17,25042000,dephasing,6,57,1.966744402461953,0.46365890923314146,4,4,0.2878469037058871,0.8925080970567076,1.7058020412411004,0.13024855568162347,2.3803108789577365e-11,2.3542248618509655e-11,2.6043750489535e-13,-2.3803108789577365e-11,-2.3542248618509655e-11,-2.6043750489535e-13,6.383543590626414e-16
v32.17,25042000,dephasing,7,56,1.9644309918628977,-0.4975409645034512,4,4,-0.24500348791085788,0.5126791804733881,-1.4552153576332456,0.11234615533792845,1.370954391677337e-11,1.3557030938600973e-11,1.5247351992098146e-13,-1.370954391677337e-11,-1.3557030938600973e-11,-1.5247351992098146e-13,1.720492516284955e-16
v32.17,25042000,dephasing,8,55,1.6921458564839147,0.023834044377988334,4,4,0.2736167910851271,0.935503172013923,4.0670815190493315,0.09761051679300489,1.984849784530951e-11,1.969403852840826e-11,1.5476162018579487e-13,1.984849784530951e-11,1.969403852840826e-11,1.5476162018579487e-13,6.620051863005271e-16
v32.17,25042000,dephasing,9,54,1.6886100349699211,0.01571539170803185,4,4,-0.23500850747983792,0.6047817136699849,-3.4994608690038973,0.15882496313178865,1.2995986231612022e-11,1.2872676059904693e-11,1.235470059590682e-13,1.2995986231612022e-11,1.2872676059904693e-11,1.235470059590682e-13,3.288542341792303e-16
v32.17,25042000,dephasing,10,53,1.6764420039565993,0.46343244789583143,4,4,0.290581137689651,0.9211141598911403,3.453048261345614,0.4592156159806061,2.2543938937857888e-11,2.2621324613941383e-11,1.468686283701004e-13,2.2543938937857888e-11,2.2621324613941383e-11,-7.700784454556242e-14,7.579999065396428e-16
v32.17,25042000,dephasing,11,52,1.6720595812293473,-0.2931208456369997,4,4,-0.24974433622523162,0.5533666545961602,-2.9776846883422783,0.7512181574693082,1.3849504876262131e-11,1.3621133881437869e-11,2.283728761653947e-13,1.3849504876262131e-11,1.3621133881437869e-11,2.283728761653947e-13,2.256243122092049e-16
v32.17,25042000,dephasing,12,51,1.4639107662982664,-0.1691666279032112,4,4,0.30348728390673096,0.8959432320646323,3.5572517182250136,0.6109025978434687,2.6459390234379043e-12,2.5602850986721475e-12,2.5224267119483557e-13,2.6459390234379043e-12,2.5602850986721475e-12,8.559819519859957e-14,1.9775393726930334e-16
v32.17,25042000,dephasing,13,50,1.4584129115423414,0.22512599499772068,4,4,-0.24972114886439933,0.49833208291955633,-2.934725866054791,0.30079778979828026,1.394256238240743e-12,1.4163009998818078e-12,9.031317360630453e-14,1.394256238240743e-12,1.4163009998818078e-12,-2.181935188083628e-14,5.039844869014474e-16
v32.17,25042000,dephasing,14,49,1.4334527954745644,0.29063541288859407,4,4,0.2738620113042334,0.8906322939375068,3.560655791714538,0.10567725417713947,3.602902698407462e-12,3.530226107452913e-12,1.155360529470073e-13,-3.602902698407462e-12,-3.530226107452913e-12,-7.266062751476454e-14,2.182143017168588e-17
v32.17,25042000,dephasing,15,48,1.4275616977982164,0.00545299082877565,4,4,-0.23439129566287686,0.5335366852355795,-3.0489407910912627,0.08470886303166585,2.1415811832237175e-12,2.117330963751112e-12,3.653848057449949e-14,-2.1415811832237175e-12,-2.117330963751112e-12,-2.4336435644478627e-14,2.2520950400831946e-16
v32.17,25042000,dephasing,16,47,1.0939615772545648,-0.12727287836418105,4,4,0.27823358367338724,0.9212346162157369,4.9819255282312875,0.18996785185291565,8.290201858329738e-12,8.391641959042717e-12,1.0122458427019865e-13,-8.290201858329738e-12,-8.391641959042717e-12,1.0122458427019865e-13,3.7529352380604165e-16
v32.17,25042000,dephasing,17,46,1.0881648225246672,-0.0019399843253508076,4,4,-0.2447338849748976,0.5739072525887914,-4.3554543175340905,0.09037848316713834,5.097176153379124e-12,5.184534239952761e-12,8.71143435166033e-14,-5.097176153379124e-12,-5.184534239952761e-12,8.71143435166033e-14,7.222142374133957e-16
v32.17,25042000,dephasing,18,45,1.0741101228597905,-0.025214000864455688,4,4,0.26528739295102516,0.908060424908786,4.415626237356927,0.27458361993897096,1.2860185139018654e-11,1.2975649133979968e-11,2.2157276013956562e-13,-8.94281870778002e-12,-8.721692716539584e-12,-2.2157276013956562e-13,5.863471775054754e-16
v32.17,25042000,dephasing,19,44,1.0687765868124621,-0.2796673059394926,4,4,-0.24233341508722234,0.5647215516930068,-4.017840096562573,0.16042997148335233,7.988096295541425e-12,8.034664786018271e-12,1.7089107906542722e-13,-5.6455257135823445e-12,-5.474846763052486e-12,-1.7089107906542722e-13,7.618746417027198e-16
v32.17,25042000,dephasing,20,43,0.6587625915442124,0.271925888444691,4,4,0.2100579536166648,0.8067829637858464,3.608431994120339,0.2696191718671642,1.0069785283395305e-11,9.731878346986386e-12,3.380143387410328e-13,1.0069785283395305e-11,9.731878346986386e-12,3.380143387410328e-13,3.3480420193150687e-16
v32.17,25042000,dephasing,21,42,0.6523641195267388,0.34473424651455187,4,4,-0.21580391024785067,0.4732832155305197,-3.714202971118257,0.03521778892497607,5.951698769240954e-12,5.6878562184236114e-12,2.6413767006960853e-13,5.951698769240954e-12,5.6878562184236114e-12,2.6413767006960853e-13,3.669920515102329e-16
v32.17,25042000,dephasing,22,41,0.6353883011550365,0.6326899225480247,4,4,0.12807744099643098,0.7399899950115656,2.0641959781307526,0.30939282497527804,4.965305944182319e-12,5.1103983550778885e-12,5.127287483475129e-13,-4.752004345576211e-12,-5.1103983550778885e-12,3.5790814756353484e-13,6.6376111620263675e-16
v32.17,25042000,dephasing,23,40,0.6293356210701317,0.16502413161883028,4,4,-0.1736094653995119,0.4995935560081616,-2.7735271951162463,0.00830015662119216,3.3179496476687387e-12,3.4544066421802336e-12,2.0625883813407686e-13,-3.3179496476687387e-12,-3.4544066421802336e-12,1.3645139705642517e-13,2.44213873116803e-16
v32.17,25042000,dephasing,24,39,0.2843715887463743,-0.5475178260577758,4,4,0.19067313091171223,0.7641062464191464,1.8363755425972563,0.32222848676926386,2.676470156615096e-12,2.5286423523260995e-12,2.4569304923893753e-12,-2.676470156615096e-12,-2.2003620763249847e-13,-2.4569304923893753e-12,9.63057858496297e-16
v32.17,25042000,dephasing,25,38,0.2812054412565679,-0.46029967445888076,4,4,-0.240662053511429,0.39125837018188253,-2.314547380543715,0.2207521666567883,3.1327024307969964e-13,1.564684538831614e-12,1.5788065299560117e-12,-3.1327024307969964e-13,-9.401515970520619e-14,-2.1931068072689186e-13,1.8183947261528601e-16
v32.17,25042000,dephasing,26,37,0.26482062964046393,-0.585737424372401,4,4,0.1760731442064309,0.7763057620342307,1.7620615168707596,0.3157134933456122,5.1144019574955735e-12,2.02719987617881e-12,3.9164817222658854e-12,-2.925985842505696e-12,9.902405351450696e-13,-3.9164817222658854e-12,4.2043077417420647e-16
v32.17,25042000,dephasing,27,36,0.2619864687735263,-0.751304197451854,4,4,-0.2198704284879519,0.45414680659142626,-2.202740520295426,0.237757943730397,1.9148745089569985e-12,1.0136974938174515e-12,1.5779252904302155e-12,5.644269773785737e-13,-1.0136974938174515e-12,1.5779252904302155e-12,2.0314884175018216e-16
v32.17,25042000,dephasing,28,35,0.07278294475567904,0.1666843876215432,4,4,0.01648694930559751,0.9269563716522953,1.0916837791406877,0.07033659115137322,2.397200493664542e-12,1.022577126336514e-12,3.009245630458679e-12,-2.397200493664542e-12,6.117308502792946e-13,-3.009245630458679e-12,7.992796997261524e-16
v32.17,25042000,dephasing,29,34,0.07081255002358793,0.12307328643041221,4,4,0.012052718621335995,0.9241532274014413,0.7988017104332847,0.07239973162943844,5.973485595056616e-13,1.00133376883633e-12,1.4728079866799249e-12,5.973485595056616e-13,5.439775064090974e-13,5.272171588188712e-14,8.408199987968452e-16
v32.17,25042000,dephasing,30,33,0.048600388009180644,0.1783224940845633,4,4,0.012678301528060189,0.9519289652379235,1.8156098343569482,0.07319491661619396,1.0276057782476755e-11,2.306196627694395e-12,7.969819248998533e-12,-1.0276057782476755e-11,-2.306196627694395e-12,-7.969819248998533e-12,1.0700398691560793e-16
v32.17,25042000,dephasing,31,32,0.04659378773055864,0.07724022316920248,4,4,0.012330759849457869,0.9515077916535497,1.7667313042972452,0.09520462422061624,5.074995979015284e-12,2.379587531122012e-12,7.45462025442123e-12,5.074995979015284e-12,-2.379587531122012e-12,7.45462025442123e-12,2.844917484640883e-16
v32.17,25042000,transverse,0,63,2.874552422746733,0.18871847023623955,4,4,0.8672911957584107,0.9790091153958035,2.4012899313145653,1.8294201805315847e-13,2.0566971976072834e-13,1.797878519193693e-13,4.906539603103152e-14,-2.0566971976072834e-13,-1.797878519193693e-13,-2.5844955728024556e-14,1.029168013553004e-16
v32.17,25042000,transverse,1,62,2.87344508633917,-0.31508147386664376,4,4,0.5780328038571096,0.8204843482512657,1.6006891143958368,1.8069211779853456e-13,1.6736901880997088e-13,1.5152134615557598e-13,4.6857939547316215e-14,1.6736901880997088e-13,1.5152134615557598e-13,1.591926908427789e-14,1.811797784367849e-16
v32.17,25042000,transverse,2,61,2.8439494108712084,0.30490189758471686,4,4,0.8182574156423933,0.955666486085111,2.195255384348985,4.097864629498283e-13,7.48789897473544e-13,7.247876258529483e-13,9.290154070396725e-14,-5.533173836832664e-13,-4.605114370342654e-13,-9.290154070396725e-14,2.318969869875266e-16
